                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4446,                 9.1925,                 2.3028,                0.68957,                0.14976,                0.27904,                0.17226,                 2.9507,                 7.7851,                 2.2403,                0.00066,                0.00066,                0.00066
                      2,                 3.4247,                 6.4836,                 2.3107,                0.46025,                0.42978,                 0.4041,                0.22344,                 3.0408,                 6.3434,                 2.4398,              0.0013223,              0.0013223,              0.0013223
                      3,                 3.3147,                 6.4354,                 2.4162,                0.33909,                0.34831,                0.25413,                0.12505,                 3.4151,                 7.1301,                 2.5552,              0.0019802,              0.0019802,              0.0019802
                      4,                  3.501,                 6.8679,                 2.4416,                0.38577,                0.41854,                0.34318,                0.15308,                  3.231,                 11.619,                 2.5293,              0.0019802,              0.0019802,              0.0019802
                      5,                 3.3817,                 6.0827,                 2.4247,                 0.4587,                0.56461,                0.45762,                0.23954,                   2.97,                 14.634,                 2.5614,              0.0019736,              0.0019736,              0.0019736
                      6,                 3.0627,                 6.4431,                 2.2236,                0.48175,                0.48315,                0.45317,                0.22316,                 3.1294,                 5.6697,                 2.4752,               0.001967,               0.001967,               0.001967
                      7,                 3.1544,                 5.7447,                 2.3587,                0.50347,                0.52809,                0.51838,                0.25034,                 3.1419,                 5.5041,                 2.5492,              0.0019604,              0.0019604,              0.0019604
                      8,                 3.3256,                 5.4974,                 2.3992,                0.58702,                0.49157,                0.51826,                0.26303,                 3.0778,                 5.3275,                 2.4842,              0.0019538,              0.0019538,              0.0019538
                      9,                 3.1679,                 5.6458,                 2.2803,                0.55911,                0.50584,                0.49669,                 0.2709,                 3.1647,                 5.1719,                 2.4784,              0.0019472,              0.0019472,              0.0019472
                     10,                 3.2211,                  4.886,                 2.3867,                0.51634,                0.55337,                0.53461,                0.28316,                 3.1973,                 4.6746,                 2.5111,              0.0019406,              0.0019406,              0.0019406
                     11,                 3.3765,                 5.4556,                 2.4167,                0.58098,                0.57584,                 0.5917,                0.30999,                  3.058,                 48.156,                 2.4366,               0.001934,               0.001934,               0.001934
                     12,                 3.3201,                 4.9418,                 2.3495,                0.62015,                0.57303,                0.59762,                0.32438,                 3.2218,                 4.0344,                 2.4739,              0.0019274,              0.0019274,              0.0019274
                     13,                 3.2479,                 4.5881,                 2.3477,                0.58433,                0.57303,                0.58165,                0.29878,                 3.0886,                 4.1771,                 2.4375,              0.0019208,              0.0019208,              0.0019208
                     14,                 3.1425,                 4.5539,                 2.2815,                0.58769,                 0.6236,                 0.6198,                0.34389,                 3.0642,                 3.4507,                 2.4345,              0.0019142,              0.0019142,              0.0019142
                     15,                 3.1448,                 4.4499,                 2.2536,                0.57098,                  0.486,                0.52193,                0.29368,                  3.125,                  3.633,                 2.4239,              0.0019076,              0.0019076,              0.0019076
                     16,                  3.322,                 4.0068,                  2.346,                0.61732,                0.58907,                0.61404,                0.30819,                 3.2157,                 3.5557,                 2.5093,               0.001901,               0.001901,               0.001901
                     17,                 3.0209,                 4.3076,                 2.2558,                0.54754,                0.55337,                0.55715,                0.26592,                 3.1995,                 3.7996,                 2.4959,              0.0018944,              0.0018944,              0.0018944
                     18,                 3.1475,                 3.9217,                 2.3373,                0.65108,                0.61327,                0.67638,                0.37212,                 2.9863,                 3.2623,                   2.44,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.9295,                 3.8516,                 2.1803,                0.60086,                0.58708,                0.60826,                0.30351,                  3.165,                 3.5056,                 2.5034,              0.0018812,              0.0018812,              0.0018812
                     20,                 3.2731,                 3.7243,                 2.3648,                0.61744,                0.60112,                0.62674,                0.31442,                 3.0677,                 3.5684,                 2.4154,              0.0018746,              0.0018746,              0.0018746
                     21,                 3.0022,                 3.9697,                 2.2095,                0.67625,                0.63483,                0.67671,                0.38222,                 2.9024,                 3.0647,                  2.363,               0.001868,               0.001868,               0.001868
                     22,                 3.1039,                 3.6186,                  2.274,                0.62346,                0.62789,                0.64381,                0.34688,                 3.0791,                 3.2311,                 2.4273,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.8892,                 3.5846,                 2.2136,                0.67935,                0.64045,                0.68518,                 0.3789,                 2.9447,                 3.1194,                 2.3638,              0.0018548,              0.0018548,              0.0018548
                     24,                 2.9979,                 3.6938,                 2.2648,                0.65567,                0.66326,                0.69648,                0.38003,                 2.9283,                 3.1314,                 2.3553,              0.0018482,              0.0018482,              0.0018482
                     25,                 3.0306,                 3.2624,                 2.2251,                0.66322,                0.67978,                0.69078,                0.37186,                 2.9403,                 3.2045,                 2.3846,              0.0018416,              0.0018416,              0.0018416
                     26,                 2.8833,                 3.1351,                 2.2012,                0.66173,                 0.6882,                0.70735,                0.38717,                 2.8981,                 3.0816,                 2.3648,               0.001835,               0.001835,               0.001835
                     27,                 2.9223,                 3.3307,                 2.2113,                0.71441,                0.63483,                0.69842,                0.38624,                 2.9111,                 3.0999,                 2.4139,              0.0018284,              0.0018284,              0.0018284
                     28,                 2.8897,                 3.0728,                 2.2386,                0.58785,                0.70225,                0.70788,                0.38415,                 2.8981,                 3.2296,                 2.4272,              0.0018218,              0.0018218,              0.0018218
                     29,                 2.8907,                 3.4923,                 2.2483,                0.64076,                 0.7191,                0.71792,                0.39475,                 2.9119,                 3.1729,                 2.3838,              0.0018152,              0.0018152,              0.0018152
                     30,                 2.8719,                 2.9781,                 2.2474,                0.70139,                0.69279,                0.74888,                 0.4265,                  2.865,                 2.6826,                 2.3609,              0.0018086,              0.0018086,              0.0018086
                     31,                 2.7576,                 3.1055,                 2.1013,                0.71645,                0.68137,                 0.7543,                0.43221,                 2.8412,                 2.7143,                 2.3641,               0.001802,               0.001802,               0.001802
                     32,                 2.7695,                 3.0478,                 2.1349,                0.65077,                0.70787,                0.75157,                0.42649,                 2.8674,                  2.597,                  2.388,              0.0017954,              0.0017954,              0.0017954
