                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6126,                  10.95,                 2.3679,                 0.0002,                0.00843,                 0.0001,                  2e-05,                 2.6378,                 8.5611,                 2.0344,                0.00018,                0.00018,                0.00018
                      2,                 2.4032,                 11.013,                 1.9827,                 0.0002,                0.00843,                 0.0001,                  2e-05,                 2.6378,                 8.5611,                 2.0344,             0.00037875,             0.00037875,             0.00037875
                      3,                 3.1013,                 9.0768,                 2.1367,                0.00026,                0.01124,                0.00013,                  4e-05,                 2.7158,                 8.6361,                 2.1005,             0.00057617,             0.00057617,             0.00057617
                      4,                 3.6999,                 11.175,                 2.2744,                0.00026,                0.01124,                0.00013,                  4e-05,                 2.7158,                 8.6361,                 2.1005,             0.00077228,             0.00077228,             0.00077228
                      5,                  2.525,                 9.2208,                 1.7966,                0.00026,                0.01124,                0.00013,                  4e-05,                 2.7158,                 8.6361,                 2.1005,             0.00096706,             0.00096706,             0.00096706
                      6,                 3.5387,                   8.97,                 2.3174,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,              0.0011605,              0.0011605,              0.0011605
                      7,                 2.6365,                 11.027,                 1.7546,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,              0.0013527,              0.0013527,              0.0013527
                      8,                 2.9902,                 9.4867,                  2.011,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,              0.0015435,              0.0015435,              0.0015435
                      9,                 3.3052,                 9.4825,                 2.3381,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,               0.001733,               0.001733,               0.001733
                     10,                 3.0809,                 8.4468,                 2.1765,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,              0.0019212,              0.0019212,              0.0019212
                     11,                 3.3524,                 9.5198,                  2.433,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,               0.001934,               0.001934,               0.001934
                     12,                 3.1975,                 9.5533,                 2.3459,                0.00046,                0.01966,                0.00023,                  7e-05,                 2.9071,                 8.7548,                 2.2183,              0.0019274,              0.0019274,              0.0019274
                     13,                 3.7783,                  10.59,                 2.5351,                 0.0017,                0.07303,                0.00708,                0.00608,                 3.0841,                 8.8348,                 2.3355,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.8537,                 9.0672,                 2.1271,                 0.0017,                0.07303,                0.00708,                0.00608,                 3.0841,                 8.8348,                 2.3355,              0.0019142,              0.0019142,              0.0019142
                     15,                 3.6244,                 8.2418,                 2.3369,                 0.0017,                0.07303,                0.00708,                0.00608,                 3.0841,                 8.8348,                 2.3355,              0.0019076,              0.0019076,              0.0019076
                     16,                 3.5079,                  10.34,                 2.3346,                 0.0017,                0.07303,                0.00708,                0.00608,                 3.0841,                 8.8348,                 2.3355,               0.001901,               0.001901,               0.001901
                     17,                 3.2993,                 9.7873,                 2.3437,                 0.0017,                0.07303,                0.00708,                0.00608,                 3.0841,                 8.8348,                 2.3355,              0.0018944,              0.0018944,              0.0018944
                     18,                  3.754,                 9.3141,                 2.4119,                 0.0017,                0.07303,                0.00708,                0.00608,                 3.0841,                 8.8348,                 2.3355,              0.0018878,              0.0018878,              0.0018878
                     19,                 3.6905,                 9.5566,                  2.761,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,              0.0018812,              0.0018812,              0.0018812
                     20,                 3.5116,                 9.1601,                 2.4423,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,              0.0018746,              0.0018746,              0.0018746
                     21,                 3.5592,                 7.5599,                 2.5015,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,               0.001868,               0.001868,               0.001868
                     22,                 3.5238,                 9.3979,                 2.3991,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.9711,                 10.198,                 2.3154,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,              0.0018548,              0.0018548,              0.0018548
                     24,                  3.674,                 9.7833,                 2.6199,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,              0.0018482,              0.0018482,              0.0018482
                     25,                 3.4408,                 10.682,                 2.2637,                 0.2956,                0.01771,                0.01051,                 0.0086,                 3.0974,                 8.7375,                 2.3456,              0.0018416,              0.0018416,              0.0018416
                     26,                 5.4744,                 8.7326,                 3.7879,                0.03882,                0.18539,                0.01839,                0.00345,                 6.4417,                 19.361,                 7.2085,               0.001835,               0.001835,               0.001835
