                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3622,                 9.2939,                 2.4125,                      0,                      0,                      0,                      0,                 3.8494,                 9.0258,                 2.6012,             0.00065333,             0.00065333,             0.00065333
                      2,                 4.3673,                 8.7637,                 2.6335,                  7e-05,                0.00281,                  3e-05,                      0,                 4.3556,                 8.7635,                 2.6647,              0.0013156,              0.0013156,              0.0013156
                      3,                 4.4985,                 8.2693,                 2.6961,                0.20449,                0.28933,                0.14148,                0.05088,                 4.3157,                 11.174,                 3.7713,              0.0019736,              0.0019736,              0.0019736
                      4,                 4.6283,                 7.1249,                 3.0939,                0.00403,                0.16573,                0.00236,                0.00088,                 4.8198,                    inf,                 3.9127,              0.0019802,              0.0019802,              0.0019802
                      5,                 4.2022,                 8.1631,                 2.7606,                0.00403,                0.16573,                0.00236,                0.00088,                 4.8198,                    inf,                 3.9127,              0.0019736,              0.0019736,              0.0019736
                      6,                  4.145,                 7.2144,                 2.6481,                0.00027,                0.01124,                0.00013,                  7e-05,                 5.1035,                 4844.8,                 4.4748,               0.001967,               0.001967,               0.001967
                      7,                 4.0112,                 8.2707,                 2.5571,                0.32279,                0.29494,                0.23636,                0.09254,                 4.0627,                 7.1155,                 2.6966,              0.0019604,              0.0019604,              0.0019604
                      8,                 4.0907,                 7.1839,                 2.6428,                0.00035,                0.01404,                0.00017,                  7e-05,                  3.774,                 614.76,                 2.7064,              0.0019538,              0.0019538,              0.0019538
                      9,                 4.0623,                 6.5431,                 2.6686,                0.00035,                0.01404,                0.00017,                  7e-05,                  3.774,                 614.76,                 2.7064,              0.0019472,              0.0019472,              0.0019472
                     10,                  3.702,                 8.5997,                 2.4586,                0.31691,                0.30234,                0.24739,                0.10838,                 3.8945,                 9.2286,                 2.8422,              0.0019406,              0.0019406,              0.0019406
                     11,                 3.8423,                 7.6026,                 2.6025,                0.37535,                 0.3736,                0.32657,                0.15147,                 3.8049,                 6.9787,                 2.7863,               0.001934,               0.001934,               0.001934
                     12,                 3.7473,                  6.377,                 2.5327,                0.43392,                 0.4073,                0.36492,                 0.1709,                   3.71,                 6.2945,                 2.7316,              0.0019274,              0.0019274,              0.0019274
                     13,                 3.9043,                 6.6712,                 2.6509,                0.36715,                0.49157,                0.37531,                0.17992,                 3.6451,                 6.2381,                  2.656,              0.0019208,              0.0019208,              0.0019208
                     14,                 3.6589,                  5.915,                 2.4861,                0.36715,                0.49157,                0.37531,                0.17992,                 3.6451,                 6.2381,                  2.656,              0.0019142,              0.0019142,              0.0019142
                     15,                 3.7753,                 6.6849,                 2.4689,                0.41007,                0.50281,                 0.3922,                0.19513,                 3.7887,                 5.9932,                 2.7511,              0.0019076,              0.0019076,              0.0019076
                     16,                 3.6537,                 5.8803,                 2.5378,                0.45055,                0.48876,                0.40508,                 0.2103,                 3.6434,                 5.7657,                 2.6491,               0.001901,               0.001901,               0.001901
                     17,                  3.789,                 5.2463,                 2.5552,                0.46288,                0.47753,                0.43259,                0.19638,                  3.623,                 5.5596,                 2.6223,              0.0018944,              0.0018944,              0.0018944
                     18,                 3.5418,                 6.2985,                 2.4238,                0.47542,                0.49643,                0.44274,                0.21419,                 3.5061,                 5.2746,                 2.5717,              0.0018878,              0.0018878,              0.0018878
